gene	experiment	cloneid
PBANKA_131480	met3	PbGEM-251753
PBANKA_131820	met3	PbGEM-253089
PBANKA_132870	met3	PbGEM-248453
PBANKA_133180	met3	PbGEM-249676
PBANKA_133720	met3	PbGEM-251670
PBANKA_133990	met3	PbGEM-252668
PBANKA_134570	met3	PbGEM-254751
PBANKA_134800	met3	PbGEM-249320
PBANKA_140160	met3	PbGEM-062476
PBANKA_140320	met3	PbGEM-256763
PBANKA_140980	met3	PbGEM-109800
PBANKA_142110	met3	PbGEM-256982
PBANKA_142780	met3	PbGEM-110930
PBANKA_142990	met3	PbGEM-255423
PBANKA_143100	met3	PbGEM-111197
PBANKA_143400	met3	PbGEM-256341
PBANKA_143620	met3	PbGEM-257004
PBANKA_143730	met3	PbGEM-257275
PBANKA_144490	met3	PbGEM-258539
PBANKA_144690	met3	PbGEM-256413
PBANKA_144980	met3	PbGEM-257126
PBANKA_145280	met3	PbGEM-257812
PBANKA_010120	met4	PbGEM-226669
PBANKA_010160	met4	PbGEM-226701
PBANKA_020650	met4	PbGEM-228772
PBANKA_021230	met4	PbGEM-227009
PBANKA_030420	met4	PbGEM-228077
PBANKA_030570	met4	PbGEM-228342
PBANKA_030840	met4	PbGEM-228889
PBANKA_031520	met4	PbGEM-230237
PBANKA_031600	met4	PbGEM-230365
PBANKA_040150	met4	PbGEM-230619
PBANKA_040280	met4	PbGEM-228523
PBANKA_040460	met4	PbGEM-228894
PBANKA_040670	met4	PbGEM-229398
PBANKA_041010	met4	PbGEM-230013
PBANKA_041080	met4	PbGEM-230154
PBANKA_041690	met4	PbGEM-231102
PBANKA_051140	met4	PbGEM-231569
PBANKA_051490	met4	PbGEM-015545
PBANKA_051500	met4	PbGEM-015561
PBANKA_052100	met4	PbGEM-233017
PBANKA_060680	met4	PbGEM-232814
PBANKA_061060	met4	PbGEM-233541
PBANKA_061680	met4	PbGEM-234694
PBANKA_070370	met4	PbGEM-233612
PBANKA_071510	met4	PbGEM-235843
PBANKA_071670	met4	PbGEM-236237
PBANKA_071810	met4	PbGEM-236470
PBANKA_081110	met4	PbGEM-237372
PBANKA_081120	met4	PbGEM-237397
PBANKA_082000	met4	PbGEM-239551
PBANKA_082090	met4	PbGEM-239778
PBANKA_082230	met4	PbGEM-259332
PBANKA_082400	met4	PbGEM-259444
PBANKA_082620	met4	PbGEM-259604
PBANKA_082880	met4	PbGEM-259804
PBANKA_090390	met4	PbGEM-260652
PBANKA_091660	met4	PbGEM-239300
PBANKA_092290	met4	PbGEM-240654
PBANKA_092360	met4	PbGEM-240798
PBANKA_093030	met4	PbGEM-238826
PBANKA_094180	met4	PbGEM-241747
PBANKA_094350	met4	PbGEM-242212
PBANKA_100550	met4	PbGEM-243822
PBANKA_100980	met4	PbGEM-262716
PBANKA_101010	met4	PbGEM-262740
PBANKA_101290	met4	PbGEM-262932
PBANKA_101490	met4	PbGEM-263092
PBANKA_101590	met4	PbGEM-263156
PBANKA_102650	met4	PbGEM-263948
PBANKA_103440	met4	PbGEM-039254
PBANKA_103510	met4	PbGEM-242902
PBANKA_103640	met4	PbGEM-243206
PBANKA_103780	met4	PbGEM-097822
PBANKA_103930	met4	PbGEM-243939
PBANKA_110420	met4	PbGEM-122074
PBANKA_110840	met4	PbGEM-246443
PBANKA_111870	met4	PbGEM-245479
PBANKA_111910	met4	PbGEM-245649
PBANKA_113400	met4	PbGEM-245767
PBANKA_113550	met4	PbGEM-246246
PBANKA_113560	met4	PbGEM-246281
PBANKA_113950	met4	PbGEM-247352
PBANKA_114300	met4	PbGEM-248285
PBANKA_121690	met4	PbGEM-248306
PBANKA_121780	met4	PbGEM-248604
PBANKA_123250	met4	PbGEM-261164
PBANKA_123330	met4	PbGEM-261228
PBANKA_124460	met4	PbGEM-261996
PBANKA_131060	met4	PbGEM-250295
PBANKA_132630	met4	PbGEM-247742
PBANKA_132680	met4	PbGEM-247938
PBANKA_133710	met4	PbGEM-251636
PBANKA_133760	met4	PbGEM-251952
PBANKA_135180	met4	PbGEM-250995
PBANKA_135400	met4	PbGEM-251774
PBANKA_135690	met4	PbGEM-253011
PBANKA_135720	met4	PbGEM-253069
PBANKA_135810	met4	PbGEM-253334
PBANKA_135840	met4	PbGEM-253402
PBANKA_136260	met4	PbGEM-254893
PBANKA_140160	met4	PbGEM-062476
PBANKA_140250	met4	PbGEM-256566
PBANKA_140580	met4	PbGEM-252667
PBANKA_141090	met4	PbGEM-254268
PBANKA_141130	met4	PbGEM-254414
PBANKA_142650	met4	PbGEM-254121
PBANKA_142750	met4	PbGEM-254500
PBANKA_144040	met4	PbGEM-257908
PBANKA_144410	met4	PbGEM-258433
PBANKA_145000	met4	PbGEM-257165
PBANKA_145730	met4	PbGEM-258659
PBANKA_010090	met5	PbGEM-226645
PBANKA_020590	met5	PbGEM-228651
PBANKA_030170	met5	PbGEM-227680
PBANKA_030360	met5	PbGEM-228013
PBANKA_031310	met5	PbGEM-229966
PBANKA_031470	met5	PbGEM-230189
PBANKA_040180	met5	PbGEM-230686
PBANKA_040650	met5	PbGEM-229366
PBANKA_041820	met5	PbGEM-231324
PBANKA_051490	met5	PbGEM-015545
PBANKA_051500	met5	PbGEM-015561
PBANKA_051535	met5	PbGEM-232086
PBANKA_051660	met5	PbGEM-232294
PBANKA_052040	met5	PbGEM-232916
PBANKA_052180	met5	PbGEM-233197
PBANKA_061500	met5	PbGEM-234414
PBANKA_061610	met5	PbGEM-234590
PBANKA_071420	met5	PbGEM-235636
PBANKA_071840	met5	PbGEM-236544
PBANKA_072200	met5	PbGEM-237378
PBANKA_080300	met5	PbGEM-235651
PBANKA_080310	met5	PbGEM-235669
PBANKA_082100	met5	PbGEM-239805
PBANKA_082360	met5	PbGEM-259412
PBANKA_082860	met5	PbGEM-259788
PBANKA_083170	met5	PbGEM-260028
PBANKA_083490	met5	PbGEM-260276
PBANKA_091180	met5	PbGEM-238067
PBANKA_091970	met5	PbGEM-240156
PBANKA_092950	met5	PbGEM-242177
PBANKA_093160	met5	PbGEM-239261
PBANKA_093350	met5	PbGEM-239781
PBANKA_094090	met5	PbGEM-241399
PBANKA_100490	met5	PbGEM-243622
PBANKA_100670	met5	PbGEM-244202
PBANKA_100810	met5	PbGEM-262580
PBANKA_101910	met5	PbGEM-263388
PBANKA_102020	met5	PbGEM-263492
PBANKA_102410	met5	PbGEM-263764
PBANKA_102490	met5	PbGEM-263820
PBANKA_102970	met5	PbGEM-241496
PBANKA_103130	met5	PbGEM-242021
PBANKA_103440	met5	PbGEM-039254
PBANKA_103470	met5	PbGEM-242813
PBANKA_103760	met5	PbGEM-243448
PBANKA_103780	met5	PbGEM-097822
PBANKA_110420	met5	PbGEM-122074
PBANKA_110830	met5	PbGEM-246413
PBANKA_111440	met5	PbGEM-244357
PBANKA_111710	met5	PbGEM-244963
PBANKA_112260	met5	PbGEM-246711
PBANKA_112700	met5	PbGEM-248013
PBANKA_112780	met5	PbGEM-248353
PBANKA_113270	met5	PbGEM-245292
PBANKA_113380	met5	PbGEM-245693
PBANKA_113690	met5	PbGEM-246710
PBANKA_120870	met5	PbGEM-245936
PBANKA_122350	met5	PbGEM-250890
PBANKA_122760	met5	PbGEM-252519
PBANKA_123880	met5	PbGEM-261596
PBANKA_130090	met5	PbGEM-262228
PBANKA_132050	met5	PbGEM-253763
PBANKA_132270	met5	PbGEM-254616
PBANKA_134020	met5	PbGEM-252781
PBANKA_134790	met5	PbGEM-255530
PBANKA_134840	met5	PbGEM-249514
PBANKA_135110	met5	PbGEM-250699
PBANKA_140160	met5	PbGEM-062476
PBANKA_141980	met5	PbGEM-256665
PBANKA_142640	met5	PbGEM-254102
PBANKA_143870	met5	PbGEM-257534
PBANKA_144070	met5	PbGEM-257980
PBANKA_144250	met5	PbGEM-258236
PBANKA_144400	met5	PbGEM-258421
PBANKA_144760	met5	PbGEM-256592
PBANKA_146320	met5	PbGEM-259140
PBANKA_146340	met5	PbGEM-259156
PBANKA_010920	met7	PbGEM-265388
PBANKA_020250	met7	PbGEM-265492
PBANKA_020510	met7	PbGEM-265404
PBANKA_040420	met7	PbGEM-228827
PBANKA_040520	met7	PbGEM-264100
PBANKA_040840	met7	PbGEM-264140
PBANKA_040860	met7	PbGEM-229837
PBANKA_041010	met7	PbGEM-230013
PBANKA_041620	met7	PbGEM-265236
PBANKA_041730	met7	PbGEM-264428
PBANKA_041800	met7	PbGEM-264804
PBANKA_050730	met7	PbGEM-265588
PBANKA_051230	met7	PbGEM-231686
PBANKA_051410	met7	PbGEM-265476
PBANKA_051490	met7	PbGEM-015545
PBANKA_051500	met7	PbGEM-015561
PBANKA_051630	met7	PbGEM-232246
PBANKA_051720	met7	PbGEM-232399
PBANKA_051980	met7	PbGEM-265292
PBANKA_052290	met7	PbGEM-265140
PBANKA_060110	met7	PbGEM-233966
PBANKA_060200	met7	PbGEM-234148
PBANKA_060270	met7	PbGEM-232198
PBANKA_060530	met7	PbGEM-265636
PBANKA_060710	met7	PbGEM-264108
PBANKA_061010	met7	PbGEM-233431
PBANKA_061030	met7	PbGEM-264940
PBANKA_070220	met7	PbGEM-264356
PBANKA_071190	met7	PbGEM-265540
PBANKA_071210	met7	PbGEM-235204
PBANKA_071750	met7	PbGEM-265044
PBANKA_071830	met7	PbGEM-265612
PBANKA_080660	met7	PbGEM-236468
PBANKA_080890	met7	PbGEM-236907
PBANKA_081190	met7	PbGEM-265092
PBANKA_081610	met7	PbGEM-238477
PBANKA_081760	met7	PbGEM-238901
PBANKA_081860	met7	PbGEM-264220
PBANKA_081950	met7	PbGEM-265460
PBANKA_081970	met7	PbGEM-239470
PBANKA_082630	met7	PbGEM-264724
PBANKA_083460	met7	PbGEM-264156
PBANKA_083600	met7	PbGEM-260340
PBANKA_091230	met7	PbGEM-265572
PBANKA_091370	met7	PbGEM-265052
PBANKA_092160	met7	PbGEM-240478
PBANKA_092280	met7	PbGEM-265324
PBANKA_092860	met7	PbGEM-264956
PBANKA_092900	met7	PbGEM-242008
PBANKA_093120	met7	PbGEM-265148
PBANKA_093400	met7	PbGEM-264516
PBANKA_093540	met7	PbGEM-240251
PBANKA_093650	met7	PbGEM-264668
PBANKA_093830	met7	PbGEM-264172
PBANKA_094320	met7	PbGEM-264740
PBANKA_100310	met7	PbGEM-265628
PBANKA_100360	met7	PbGEM-264676
PBANKA_100780	met7	PbGEM-262556
PBANKA_101030	met7	PbGEM-265252
PBANKA_101440	met7	PbGEM-265348
PBANKA_102040	met7	PbGEM-264908
PBANKA_103010	met7	PbGEM-241608
PBANKA_103440	met7	PbGEM-039254
PBANKA_103780	met7	PbGEM-097822
PBANKA_110320	met7	PbGEM-264084
PBANKA_110420	met7	PbGEM-122074
PBANKA_110760	met7	PbGEM-265060
PBANKA_111320	met7	PbGEM-265068
PBANKA_111620	met7	PbGEM-244771
PBANKA_112350	met7	PbGEM-265220
PBANKA_113160	met7	PbGEM-244900
PBANKA_113820	met7	PbGEM-264828
PBANKA_114410	met7	PbGEM-265124
PBANKA_120610	met7	PbGEM-264916
PBANKA_120620	met7	PbGEM-264924
PBANKA_120690	met7	PbGEM-265212
PBANKA_121970	met7	PbGEM-249381
PBANKA_122210	met7	PbGEM-265108
PBANKA_122670	met7	PbGEM-265652
PBANKA_124190	met7	PbGEM-264300
PBANKA_130720	met7	PbGEM-264308
PBANKA_130780	met7	PbGEM-264844
PBANKA_130900	met7	PbGEM-264316
PBANKA_131540	met7	PbGEM-265356
PBANKA_131960	met7	PbGEM-264764
PBANKA_132890	met7	PbGEM-248549
PBANKA_133200	met7	PbGEM-249762
PBANKA_134650	met7	PbGEM-264324
PBANKA_134680	met7	PbGEM-255166
PBANKA_134780	met7	PbGEM-264604
PBANKA_135580	met7	PbGEM-252460
PBANKA_136110	met7	PbGEM-254367
PBANKA_140160	met7	PbGEM-062476
PBANKA_140400	met7	PbGEM-264076
PBANKA_142060	met7	PbGEM-256860
PBANKA_142240	met7	PbGEM-257277
PBANKA_142510	met7	PbGEM-264580
PBANKA_143470	met7	PbGEM-264092
PBANKA_143530	met7	PbGEM-265012
PBANKA_143860	met7	PbGEM-264852
PBANKA_144110	met7	PbGEM-265660
PBANKA_144140	met7	PbGEM-258076
PBANKA_144580	met7	PbGEM-258683
PBANKA_144610	met7	PbGEM-265644
PBANKA_145430	met7	PbGEM-258147
PBANKA_145500	met7	PbGEM-264372
PBANKA_145510	met7	PbGEM-265036
PBANKA_145520	met7	PbGEM-264380
PBANKA_145700	met7	PbGEM-264860
PBANKA_145750	met7	PbGEM-258684
PBANKA_145930	met7	PbGEM-258900
PBANKA_146350	met7	PbGEM-264404
PBANKA_010430	met8	PbGEM-266515
PBANKA_010470	met8	PbGEM-266563
PBANKA_010610	met8	PbGEM-266731
PBANKA_010730	met8	PbGEM-266931
PBANKA_010780	met8	PbGEM-266971
PBANKA_020270	met8	PbGEM-267699
PBANKA_020350	met8	PbGEM-267803
PBANKA_020420	met8	PbGEM-267883
PBANKA_020700	met8	PbGEM-268267
PBANKA_030080	met8	PbGEM-269307
PBANKA_030470	met8	PbGEM-269819
PBANKA_030820	met8	PbGEM-270259
PBANKA_030970	met8	PbGEM-270434
PBANKA_040430	met8	PbGEM-228846
PBANKA_040920	met8	PbGEM-272178
PBANKA_050220	met8	PbGEM-273746
PBANKA_050930	met8	PbGEM-274634
PBANKA_051490	met8	PbGEM-015545
PBANKA_051500	met8	PbGEM-015561
PBANKA_051820	met8	PbGEM-275858
PBANKA_060610	met8	PbGEM-277538
PBANKA_061590	met8	PbGEM-341555
PBANKA_062180	met8	PbGEM-279650
PBANKA_070130	met8	PbGEM-280034
PBANKA_070280	met8	PbGEM-280178
PBANKA_070680	met8	PbGEM-280794
PBANKA_070730	met8	PbGEM-280906
PBANKA_070800	met8	PbGEM-281066
PBANKA_080490	met8	PbGEM-283354
PBANKA_081240	met8	PbGEM-341547
PBANKA_082970	met8	PbGEM-286002
PBANKA_083530	met8	PbGEM-286690
PBANKA_090190	met8	PbGEM-287138
PBANKA_090240	met8	PbGEM-287226
PBANKA_090510	met8	PbGEM-287562
PBANKA_090660	met8	PbGEM-287762
PBANKA_091880	met8	PbGEM-289369
PBANKA_092230	met8	PbGEM-289689
PBANKA_092780	met8	PbGEM-290424
PBANKA_092880	met8	PbGEM-290592
PBANKA_093000	met8	PbGEM-290744
PBANKA_094270	met8	PbGEM-292328
PBANKA_100220	met8	PbGEM-292744
PBANKA_100610	met8	PbGEM-293400
PBANKA_100730	met8	PbGEM-293552
PBANKA_101230	met8	PbGEM-294240
PBANKA_101410	met8	PbGEM-294448
PBANKA_101840	met8	PbGEM-294894
PBANKA_102190	met8	PbGEM-295366
PBANKA_102280	met8	PbGEM-295438
PBANKA_102590	met8	PbGEM-295886
PBANKA_102620	met8	PbGEM-295934
PBANKA_103230	met8	PbGEM-296702
PBANKA_103440	met8	PbGEM-039254
PBANKA_103660	met8	PbGEM-297222
PBANKA_103780	met8	PbGEM-097822
PBANKA_103800	met8	PbGEM-297398
PBANKA_110280	met8	PbGEM-298117
PBANKA_110420	met8	PbGEM-122074
PBANKA_110780	met8	PbGEM-298717
PBANKA_110980	met8	PbGEM-298981
PBANKA_111700	met8	PbGEM-299771
PBANKA_112140	met8	PbGEM-300411
PBANKA_112170	met8	PbGEM-300475
PBANKA_112650	met8	PbGEM-300979
PBANKA_113100	met8	PbGEM-301602
PBANKA_113190	met8	PbGEM-301794
PBANKA_113850	met8	PbGEM-302514
PBANKA_120220	met8	PbGEM-303778
PBANKA_120390	met8	PbGEM-304074
PBANKA_120980	met8	PbGEM-304834
PBANKA_121430	met8	PbGEM-305506
PBANKA_121770	met8	PbGEM-305946
PBANKA_122160	met8	PbGEM-306466
PBANKA_122620	met8	PbGEM-307138
PBANKA_122650	met8	PbGEM-307194
PBANKA_122850	met8	PbGEM-307410
PBANKA_123110	met8	PbGEM-307722
PBANKA_123560	met8	PbGEM-308410
PBANKA_124270	met8	PbGEM-309177
PBANKA_130050	met8	PbGEM-309911
PBANKA_130140	met8	PbGEM-310103
PBANKA_130190	met8	PbGEM-310183
PBANKA_130300	met8	PbGEM-310311
PBANKA_131310	met8	PbGEM-311661
PBANKA_131620	met8	PbGEM-312053
PBANKA_131980	met8	PbGEM-312549
PBANKA_132070	met8	PbGEM-312685
PBANKA_132560	met8	PbGEM-313397
PBANKA_133280	met8	PbGEM-314277
PBANKA_135640	met8	PbGEM-317219
PBANKA_135750	met8	PbGEM-317331
PBANKA_140120	met8	PbGEM-318531
PBANKA_140160	met8	PbGEM-062476
PBANKA_140260	met8	PbGEM-318723
PBANKA_140270	met8	PbGEM-318755
PBANKA_140540	met8	PbGEM-319131
PBANKA_141110	met8	PbGEM-319971
PBANKA_141730	met8	PbGEM-320667
PBANKA_144190	met8	PbGEM-323747
PBANKA_144200	met8	PbGEM-323779
PBANKA_144320	met8	PbGEM-323923
PBANKA_144820	met8	PbGEM-324603
PBANKA_145030	met8	PbGEM-324795
PBANKA_145050	met8	PbGEM-324835
PBANKA_145400	met8	PbGEM-325323
PBANKA_146370	met8	PbGEM-326459
PBANKA_000330	met28	PbGEM-327467
PBANKA_010400	met28	PbGEM-266435
PBANKA_010480	met28	PbGEM-327651
PBANKA_020260	met28	PbGEM-327907
PBANKA_020390	met28	PbGEM-267843
PBANKA_030100	met28	PbGEM-328355
PBANKA_030180	met28	PbGEM-269451
PBANKA_030200	met28	PbGEM-328379
PBANKA_030210	met28	PbGEM-328387
PBANKA_031560	met28	PbGEM-271178
PBANKA_040090	met28	PbGEM-328755
PBANKA_040170	met28	PbGEM-328771
PBANKA_040290	met28	PbGEM-271498
PBANKA_040340	met28	PbGEM-271546
PBANKA_040370	met28	PbGEM-271578
PBANKA_040540	met28	PbGEM-328883
PBANKA_041750	met28	PbGEM-273266
PBANKA_050280	met28	PbGEM-329291
PBANKA_050370	met28	PbGEM-273930
PBANKA_051090	met28	PbGEM-329555
PBANKA_051130	met28	PbGEM-329563
PBANKA_051490	met28	NA
PBANKA_051500	met28	NA
PBANKA_060300	met28	PbGEM-277090
PBANKA_060340	met28	PbGEM-277162
PBANKA_061000	met28	PbGEM-330123
PBANKA_061340	met28	PbGEM-330211
PBANKA_061380	met28	PbGEM-330219
PBANKA_062050	met28	PbGEM-330371
PBANKA_070260	met28	PbGEM-280154
PBANKA_070460	met28	PbGEM-280458
PBANKA_071780	met28	PbGEM-282170
PBANKA_080160	met28	PbGEM-331211
PBANKA_080920	met28	PbGEM-283850
PBANKA_081920	met28	PbGEM-284938
PBANKA_090150	met28	PbGEM-287066
PBANKA_090170	met28	PbGEM-287082
PBANKA_090200	met28	PbGEM-332227
PBANKA_090370	met28	PbGEM-287402
PBANKA_090400	met28	PbGEM-287418
PBANKA_091160	met28	PbGEM-288426
PBANKA_092450	met28	PbGEM-289905
PBANKA_093700	met28	PbGEM-291616
PBANKA_094080	met28	PbGEM-292128
PBANKA_094360	met28	PbGEM-292352
PBANKA_100190	met28	PbGEM-292680
PBANKA_100350	met28	PbGEM-333467
PBANKA_101370	met28	PbGEM-333811
PBANKA_101500	met28	PbGEM-294536
PBANKA_101560	met28	PbGEM-333875
PBANKA_103390	met28	PbGEM-334451
PBANKA_103440	met28	NA
PBANKA_103780	met28	NA
PBANKA_103940	met28	PbGEM-297550
PBANKA_110230	met28	PbGEM-334675
PBANKA_110290	met28	PbGEM-298133
PBANKA_110340	met28	PbGEM-334707
PBANKA_110350	met28	PbGEM-334715
PBANKA_110390	met28	PbGEM-298253
PBANKA_110420	met28	NA
PBANKA_113930	met28	PbGEM-302666
PBANKA_120090	met28	PbGEM-303602
PBANKA_120230	met28	PbGEM-303794
PBANKA_120250	met28	PbGEM-336131
PBANKA_120280	met28	PbGEM-303858
PBANKA_120410	met28	PbGEM-336163
PBANKA_121920	met28	PbGEM-336627
PBANKA_121990	met28	PbGEM-306210
PBANKA_122150	met28	PbGEM-306442
PBANKA_123180	met28	PbGEM-337011
PBANKA_123390	met28	PbGEM-308170
PBANKA_123420	met28	PbGEM-308226
PBANKA_123720	met28	PbGEM-337147
PBANKA_124000	met28	PbGEM-337195
PBANKA_130110	met28	PbGEM-337387
PBANKA_130200	met28	PbGEM-337411
PBANKA_130910	met28	PbGEM-311175
PBANKA_131110	met28	PbGEM-311415
PBANKA_131830	met28	PbGEM-312349
PBANKA_131930	met28	PbGEM-312485
PBANKA_132400	met28	PbGEM-313181
PBANKA_133830	met28	PbGEM-314901
PBANKA_134830	met28	PbGEM-338787
PBANKA_135190	met28	PbGEM-338851
PBANKA_135910	met28	PbGEM-317555
PBANKA_140140	met28	PbGEM-339331
PBANKA_140160	met28	NA
PBANKA_140210	met28	PbGEM-339363
PBANKA_140220	met28	PbGEM-318675
PBANKA_140240	met28	PbGEM-339371
PBANKA_140310	met28	PbGEM-339395
PBANKA_140390	met28	PbGEM-339435
PBANKA_142020	met28	PbGEM-339859
PBANKA_142360	met28	PbGEM-339955
PBANKA_143880	met28	PbGEM-323307
PBANKA_145860	met28	PbGEM-341035
PBANKA_146300	met28	PbGEM-326387
PBANKA_010530	met29	PbGEM-327675
PBANKA_010580	met29	PbGEM-266691
PBANKA_010660	met29	PbGEM-266819
PBANKA_010960	met29	PbGEM-267131
PBANKA_011030	met29	PbGEM-267219
PBANKA_011130	met29	PbGEM-327835
PBANKA_020530	met29	PbGEM-328003
PBANKA_020620	met29	PbGEM-268147
PBANKA_020670	met29	PbGEM-268195
PBANKA_020680	met29	PbGEM-268219
PBANKA_020710	met29	PbGEM-268283
PBANKA_020750	met29	PbGEM-268323
PBANKA_020810	met29	PbGEM-268427
PBANKA_020960	met29	PbGEM-328107
PBANKA_021070	met29	PbGEM-268787
PBANKA_030650	met29	PbGEM-270099
PBANKA_030660	met29	PbGEM-328507
PBANKA_030810	met29	PbGEM-270235
PBANKA_031050	met29	PbGEM-328595
PBANKA_031130	met29	PbGEM-270690
PBANKA_040360	met29	PbGEM-328819
PBANKA_040490	met29	PbGEM-328851
PBANKA_040500	met29	PbGEM-271730
PBANKA_040590	met29	PbGEM-271858
PBANKA_040950	met29	PbGEM-272202
PBANKA_040980	met29	PbGEM-272242
PBANKA_050520	met29	PbGEM-329355
PBANKA_050530	met29	PbGEM-329363
PBANKA_050540	met29	PbGEM-274138
PBANKA_050590	met29	PbGEM-329379
PBANKA_050630	met29	PbGEM-329395
PBANKA_050780	met29	PbGEM-274386
PBANKA_050970	met29	PbGEM-329507
PBANKA_051490	met29	NA
PBANKA_051500	met29	NA
PBANKA_060090	met29	PbGEM-329923
PBANKA_060540	met29	PbGEM-277418
PBANKA_060780	met29	PbGEM-330083
PBANKA_060970	met29	PbGEM-277914
PBANKA_070160	met29	PbGEM-280066
PBANKA_070310	met29	PbGEM-330563
PBANKA_070550	met29	PbGEM-280570
PBANKA_070570	met29	PbGEM-330667
PBANKA_070610	met29	PbGEM-280674
PBANKA_070640	met29	PbGEM-330699
PBANKA_070690	met29	PbGEM-280818
PBANKA_070990	met29	PbGEM-281298
PBANKA_080110	met29	PbGEM-282906
PBANKA_080360	met29	PbGEM-283154
PBANKA_080370	met29	PbGEM-331291
PBANKA_080480	met29	PbGEM-283330
PBANKA_080550	met29	PbGEM-283466
PBANKA_080610	met29	PbGEM-331387
PBANKA_080730	met29	PbGEM-283610
PBANKA_090460	met29	PbGEM-287482
PBANKA_090530	met29	PbGEM-332323
PBANKA_090620	met29	PbGEM-287690
PBANKA_090630	met29	PbGEM-287706
PBANKA_090690	met29	PbGEM-332355
PBANKA_090810	met29	PbGEM-332379
PBANKA_090880	met29	PbGEM-288090
PBANKA_090970	met29	PbGEM-288154
PBANKA_100080	met29	PbGEM-292520
PBANKA_100370	met29	PbGEM-333475
PBANKA_100430	met29	PbGEM-333491
PBANKA_100500	met29	PbGEM-293232
PBANKA_100600	met29	PbGEM-333547
PBANKA_100690	met29	PbGEM-293520
PBANKA_100970	met29	PbGEM-293896
PBANKA_103440	met29	NA
PBANKA_103780	met29	NA
PBANKA_110170	met29	PbGEM-297933
PBANKA_110420	met29	NA
PBANKA_110470	met29	PbGEM-334779
PBANKA_110520	met29	PbGEM-298429
PBANKA_110740	met29	PbGEM-298685
PBANKA_110820	met29	PbGEM-334907
PBANKA_110890	met29	PbGEM-298853
PBANKA_110950	met29	PbGEM-298917
PBANKA_110970	met29	PbGEM-334963
PBANKA_120110	met29	PbGEM-303650
PBANKA_120360	met29	PbGEM-303986
PBANKA_120570	met29	PbGEM-304362
PBANKA_120810	met29	PbGEM-336275
PBANKA_120850	met29	PbGEM-304722
PBANKA_121050	met29	PbGEM-304914
PBANKA_121160	met29	PbGEM-305122
PBANKA_130180	met29	PbGEM-337403
PBANKA_130310	met29	PbGEM-310335
PBANKA_130400	met29	PbGEM-310447
PBANKA_130480	met29	PbGEM-310583
PBANKA_130710	met29	PbGEM-310911
PBANKA_140160	met29	NA
PBANKA_140350	met29	PbGEM-339411
PBANKA_140430	met29	PbGEM-339443
PBANKA_140520	met29	PbGEM-319091
PBANKA_140690	met29	PbGEM-339523
PBANKA_140840	met29	PbGEM-319555
PBANKA_141060	met29	PbGEM-339643
PBANKA_010640	met30	PbGEM-327731
PBANKA_010670	met30	PbGEM-266835
PBANKA_010690	met30	PbGEM-327747
PBANKA_010870	met30	PbGEM-327795
PBANKA_010890	met30	PbGEM-267067
PBANKA_020730	met30	PbGEM-268307
PBANKA_020780	met30	PbGEM-268363
PBANKA_021120	met30	PbGEM-268851
PBANKA_021200	met30	PbGEM-268883
PBANKA_021220	met30	PbGEM-328203
PBANKA_021240	met30	PbGEM-328211
PBANKA_030940	met30	PbGEM-328563
PBANKA_031120	met30	PbGEM-270674
PBANKA_031210	met30	PbGEM-270810
PBANKA_031220	met30	PbGEM-328643
PBANKA_031230	met30	PbGEM-270858
PBANKA_031300	met30	PbGEM-328659
PBANKA_031320	met30	PbGEM-270930
PBANKA_031490	met30	PbGEM-271138
PBANKA_040810	met30	PbGEM-272106
PBANKA_041140	met30	PbGEM-272418
PBANKA_041160	met30	PbGEM-272458
PBANKA_041320	met30	PbGEM-329067
PBANKA_041340	met30	PbGEM-329075
PBANKA_050790	met30	PbGEM-329451
PBANKA_050950	met30	PbGEM-329499
PBANKA_051040	met30	PbGEM-274834
PBANKA_051050	met30	PbGEM-329539
PBANKA_051260	met30	PbGEM-275090
PBANKA_051290	met30	PbGEM-275146
PBANKA_051440	met30	PbGEM-275346
PBANKA_051490	met30	NA
PBANKA_051500	met30	NA
PBANKA_051510	met30	PbGEM-329667
PBANKA_060870	met30	PbGEM-277810
PBANKA_060910	met30	PbGEM-330099
PBANKA_061150	met30	PbGEM-330163
PBANKA_061230	met30	PbGEM-278202
PBANKA_061300	met30	PbGEM-278298
PBANKA_061350	met30	PbGEM-278370
PBANKA_061390	met30	PbGEM-278434
PBANKA_061440	met30	PbGEM-278458
PBANKA_070560	met30	PbGEM-330659
PBANKA_071100	met30	PbGEM-330811
PBANKA_071180	met30	PbGEM-330843
PBANKA_071280	met30	PbGEM-281650
PBANKA_071340	met30	PbGEM-281754
PBANKA_071610	met30	PbGEM-330971
PBANKA_080750	met30	PbGEM-331427
PBANKA_080880	met30	PbGEM-283810
PBANKA_081140	met30	PbGEM-331499
PBANKA_081230	met30	PbGEM-284074
PBANKA_090820	met30	PbGEM-288018
PBANKA_090940	met30	PbGEM-288138
PBANKA_091100	met30	PbGEM-288322
PBANKA_091140	met30	PbGEM-332483
PBANKA_091220	met30	PbGEM-332507
PBANKA_091280	met30	PbGEM-288578
PBANKA_091320	met30	PbGEM-332539
PBANKA_091410	met30	PbGEM-288737
PBANKA_100440	met30	PbGEM-293128
PBANKA_100890	met30	PbGEM-333635
PBANKA_100940	met30	PbGEM-333651
PBANKA_101150	met30	PbGEM-333739
PBANKA_101340	met30	PbGEM-294384
