Old Gene ID,current_version_ID,gene_name,gene_product,PfID
PBANKA_061370,PBANKA_0613700,,"RNA-binding protein, putative",PF3D7_0716000
PBANKA_061380,PBANKA_0613800,SDA1,"protein SDA1, putative",PF3D7_0716100
PBANKA_061390,PBANKA_0613900,,"conserved Plasmodium protein, unknown function",PF3D7_0716200
PBANKA_061400,PBANKA_0614000,,"conserved Plasmodium protein, unknown function",PF3D7_0716300
PBANKA_061410,PBANKA_0614100,,"transcription initiation factor IIA subunit 1, putative",PF3D7_0716400
PBANKA_061420,PBANKA_0614200,,"conserved Plasmodium protein, unknown function",PF3D7_0716500
PBANKA_061430,PBANKA_0614300,SufS,cysteine desulfurase,PF3D7_0716600
PBANKA_061440,PBANKA_0614400,,"conserved Plasmodium protein, unknown function",PF3D7_0716700
PBANKA_061450,PBANKA_0614500,EIF3I,"eukaryotic translation initiation factor 3 subunit I, putative",PF3D7_0716800
PBANKA_061460,PBANKA_0614600,,"drug metabolite transporter, putative",PF3D7_0716900
PBANKA_061470,PBANKA_0614700,,"conserved Plasmodium membrane protein, unknown function",PF3D7_0717000
PBANKA_061480,PBANKA_0614800,,"conserved Plasmodium protein, unknown function",PF3D7_0717100
PBANKA_061490,PBANKA_0614900,,"conserved Plasmodium protein, unknown function",PF3D7_0717200
PBANKA_061500,PBANKA_0615000,,"transcription initiation factor IIE subunit alpha, putative",PF3D7_0717300
PBANKA_061510,PBANKA_0615100,,"queuine tRNA-ribosyltransferase, putative",PF3D7_0717400
PBANKA_061520,PBANKA_0615200,CDPK4,calcium-dependent protein kinase 4,PF3D7_0717500
PBANKA_061530,PBANKA_0615300,,"conserved Plasmodium protein, unknown function",PF3D7_0717600
PBANKA_061540,PBANKA_0615400,,"serine--tRNA ligase, putative",PF3D7_0717700
PBANKA_061550,PBANKA_0615500,,"conserved Plasmodium protein, unknown function",PF3D7_0717800
PBANKA_061560,PBANKA_0615600,,"conserved Plasmodium protein, unknown function",PF3D7_0717900
PBANKA_061570,PBANKA_0615700,,"dynein heavy chain, putative",PF3D7_0718000
PBANKA_061580,PBANKA_0615800,EST,exported serine/threonine protein kinase,PF3D7_0718100
PBANKA_061590,PBANKA_0615900,CRMP2,cysteine repeat modular protein 2,PF3D7_0718300
PBANKA_061600,PBANKA_0616000,,"mitochondrial ribosomal protein S8 precursor, putative",PF3D7_0718400
PBANKA_061610,PBANKA_0616100,,"prefoldin subunit 3, putative",PF3D7_0718500
PBANKA_061620,PBANKA_0616200,,"conserved Plasmodium protein, unknown function",PF3D7_0718600
PBANKA_061630,PBANKA_0616300,,"conserved Plasmodium protein, unknown function",PF3D7_0718700
PBANKA_061640,PBANKA_0616400,,"conserved Plasmodium protein, unknown function",PF3D7_0718800
PBANKA_061650,PBANKA_0616500,,"conserved Plasmodium protein, unknown function",PF3D7_0719000
PBANKA_061660,PBANKA_0616600,,"conserved Plasmodium protein, unknown function",PF3D7_0719100
PBANKA_061670,PBANKA_0616700,NEK4,NIMA related kinase 4,PF3D7_0719200
PBANKA_061680,PBANKA_0616800,ARP6,"actin-related protein, putative",PF3D7_0719300
PBANKA_061690,PBANKA_0616900,,"conserved Plasmodium protein, unknown function",PF3D7_0719400
PBANKA_061700,PBANKA_0617000,,"LEM3/CDC50 family protein, putative",PF3D7_0719500
PBANKA_061710,PBANKA_0617100,,"60S ribosomal protein L11a, putative",PF3D7_0719600
PBANKA_061720,PBANKA_0617200,,"40S ribosomal protein S10, putative",PF3D7_0719700
PBANKA_061730,PBANKA_0617300,,"conserved Plasmodium protein, unknown function",PF3D7_0719800
PBANKA_061740,PBANKA_0617400,,"conserved Plasmodium protein, unknown function",PF3D7_0719900
PBANKA_061750,PBANKA_0617500,CSL4,"exosome complex component CSL4, putative",PF3D7_0720000
PBANKA_061760,PBANKA_0617600,,"small subunit rRNA processing protein, putative",PF3D7_0720100
PBANKA_061770,PBANKA_0617700,,"conserved Plasmodium protein, unknown function",PF3D7_0720200
PBANKA_061780,PBANKA_0617800,,"conserved Plasmodium protein, unknown function",PF3D7_0720300
PBANKA_061790,PBANKA_0617900,,"ferrodoxin reductase-like protein, putative",PF3D7_0720400
PBANKA_061800,PBANKA_0618000,,"conserved Plasmodium protein, unknown function",PF3D7_0720500
PBANKA_061810,PBANKA_0618100,,"conserved Plasmodium protein, unknown function",PF3D7_0720600
PBANKA_061820,PBANKA_0618200,,"phosphoinositide-binding protein, putative",PF3D7_0720700
PBANKA_061830,PBANKA_0618300,,"Ham1-like protein, putative",PF3D7_0720800
PBANKA_061840,PBANKA_0618400,,"conserved Plasmodium protein, unknown function",PF3D7_0720900
PBANKA_061850,PBANKA_0618500,,"conserved Plasmodium protein, unknown function",PF3D7_0721000
PBANKA_061860,PBANKA_0618600,,"conserved Plasmodium protein, unknown function",PF3D7_0721100
PBANKA_061870,PBANKA_0618700,,"conserved Plasmodium protein, unknown function",PF3D7_0721200
PBANKA_061880,PBANKA_0618800,DBP7,"ATP-dependent RNA helicase DBP7, putative",PF3D7_0721300
PBANKA_061890,PBANKA_0618900,,"conserved Plasmodium protein, unknown function",PF3D7_0721400
PBANKA_061900,PBANKA_0619000,,"conserved Plasmodium protein, unknown function",PF3D7_0721500
PBANKA_061910,PBANKA_0619100,,"40S ribosomal protein S5, putative",PF3D7_0721600
PBANKA_061920,PBANKA_0619200,PSOP1,"secreted ookinete protein, putative",PF3D7_0721700
PBANKA_061930,PBANKA_0619300,,"conserved Plasmodium protein, unknown function",PF3D7_0721800
PBANKA_061940,PBANKA_0619400,,"V-type ATPase V0 subunit e, putative",PF3D7_0721900
PBANKA_061950,PBANKA_0619500,,"conserved Plasmodium protein, unknown function",PF3D7_0722000
PBANKA_061960,PBANKA_0619600,,"PelOta protein homologue, putative",PF3D7_0722100
PBANKA_061970,PBANKA_0619700,RALP1,"rhoptry-associated leucine zipper-like protein 1, putative",PF3D7_0722200
PBANKA_061980,PBANKA_0619800,,"zinc finger protein, putative",PF3D7_0722300
PBANKA_061990,PBANKA_0619900,,"GTP-binding protein, putative",PF3D7_0722400
PBANKA_062000,PBANKA_0620000,CWC15,"pre-mRNA-splicing factor CWC15, putative",PF3D7_0722500
PBANKA_062010,PBANKA_0620100,UTP7,"U3 small nucleolar RNA-associated protein 7, putative",PF3D7_0722600
PBANKA_062020,PBANKA_0620200,,"conserved Plasmodium protein, unknown function",PF3D7_0722700
PBANKA_062030,PBANKA_0620300,,"conserved Plasmodium protein, unknown function",PF3D7_0722800
PBANKA_062040,PBANKA_0620400,,"conserved Plasmodium protein, unknown function",PF3D7_0722900
PBANKA_062050,PBANKA_0620500,,"tRNAHis guanylyltransferase, putative",PF3D7_0723000
PBANKA_062060,PBANKA_0620600,,"conserved Plasmodium protein, unknown function",PF3D7_0723100
PBANKA_062070,PBANKA_0620700,,"conserved Plasmodium protein, unknown function",PF3D7_0723200
PBANKA_062080,PBANKA_0620800,,"conserved Plasmodium protein, unknown function",PF3D7_0723300
PBANKA_062090,PBANKA_0620900,,"conserved Plasmodium protein, unknown function",PF3D7_0723400
PBANKA_062100,PBANKA_0621000,,"dynactin subunit 5, putative",PF3D7_0723500
PBANKA_062110,PBANKA_0621100,,"conserved Plasmodium protein, unknown function",PF3D7_0723600
PBANKA_062120,PBANKA_0621200,,"metallo-hydrolase/oxidoreductase, putative",PF3D7_0723700
PBANKA_062130,PBANKA_0621300,,"conserved Plasmodium protein, unknown function",PF3D7_0723800
PBANKA_062140,PBANKA_0621400,,"conserved Plasmodium protein, unknown function",PF3D7_0723900
PBANKA_062150,PBANKA_0621500,,"Rab GTPase activator and protein kinase, putative",PF3D7_0724000
PBANKA_062160,PBANKA_0621600,,"conserved Plasmodium protein, unknown function",PF3D7_0724100
PBANKA_062170,PBANKA_0621700,TAP42,"type 2A phosphatase-associated protein 42, putative",PF3D7_0724200
PBANKA_062180,PBANKA_0621800,COQ3,"3-demethylubiquinone-9 3-methyltransferase, putative",PF3D7_0724300
PBANKA_062190,PBANKA_0621900,PAM18,"mitochondrial import inner membrane translocase subunit TIM14, putative",PF3D7_0724400
PBANKA_062200,PBANKA_0622000,,"conserved Plasmodium protein, unknown function",PF3D7_0724500
PBANKA_062210,PBANKA_0622100,,"protein kinase, putative",PF3D7_0724600
PBANKA_062220,PBANKA_0622200,,"conserved Plasmodium protein, unknown function",PF3D7_0724700
PBANKA_062230,PBANKA_0622300,,"kelch protein, putative",PF3D7_0724800
PBANKA_062240,PBANKA_0622400,,"kinesin-19, putative",PF3D7_0724900
PBANKA_062250,PBANKA_0622500,,"exonuclease I, putative",PF3D7_0725000
PBANKA_062260,PBANKA_0622600,,"conserved Plasmodium protein, unknown function",PF3D7_0725100
PBANKA_062270,PBANKA_0622700,,"mago nashi protein homologue, putative",PF3D7_0725200
PBANKA_062280,PBANKA_0622800,,"conserved Plasmodium protein, unknown function",PF3D7_0725300
PBANKA_062290,PBANKA_0622900,,"conserved Plasmodium protein, unknown function",#N/A
PBANKA_062300,PBANKA_0623000,,"Plasmodium exported protein, unknown function",#N/A
PBANKA_062310,PBANKA_0623100,,tryptophan-rich antigen;tryptophan-rich protein,#N/A
PBANKA_062315,PBANKA_0623150,,"conserved rodent malaria protein, unknown function",#N/A
PBANKA_062320,PBANKA_0623200,,"lysophospholipase, putative",#N/A
PBANKA_062330,PBANKA_0623300,,tryptophan-rich antigen;tryptophan-rich protein,#N/A
PBANKA_062340,PBANKA_0623400,,fam-a protein,#N/A
PBANKA_062350,PBANKA_0623500,,fam-a protein,#N/A
PBANKA_062360,PBANKA_0623600,,BIR protein;PIR protein,#N/A
PBANKA_062370,PBANKA_0623700,,BIR protein;PIR protein,#N/A
PBANKA_062380,PBANKA_1200031,,BIR protein;PIR protein,#N/A
PBANKA_062390,PBANKA_1300021,,BIR protein;PIR protein,#N/A
PBANKA_070010,PBANKA_0700100,,BIR protein;PIR protein,#N/A
PBANKA_070020,PBANKA_0700200,,BIR protein;PIR protein,#N/A
PBANKA_070030,PBANKA_0700300,,BIR protein;PIR protein,#N/A
PBANKA_070040,PBANKA_0007801;PBANKA_0700400.1;PBANKA_08371610;PBANKA_0007801.1,,fam-b protein;,#N/A
PBANKA_070050,PBANKA_0700500,,fam-a protein,#N/A
PBANKA_070060,PBANKA_0700600,,"Plasmodium exported protein, unknown function",#N/A
PBANKA_070070,PBANKA_0700700,,"Plasmodium exported protein, unknown function",#N/A
PBANKA_070080,PBANKA_0700800,,"Plasmodium exported protein (PHIST), unknown function",#N/A
PBANKA_070090,PBANKA_0700900,Pb235,"reticulocyte binding protein, putative",#N/A
PBANKA_070100,PBANKA_0701000,SLTRiP,,#N/A
PBANKA_070110,PBANKA_0701100,,"conserved Plasmodium protein, unknown function",#N/A
PBANKA_070120,PBANKA_0701200,,"conserved Plasmodium protein, unknown function",#N/A
PBANKA_070130,PBANKA_0701300,,"prolyl 4-hydroxylase subunit alpha, putative",PF3D7_0829400
PBANKA_070140,PBANKA_0701400,LSM8,"U6 snRNA-associated Sm-like protein LSm8, putative",PF3D7_0829300
PBANKA_070150,PBANKA_0701500,,"prohibitin, putative",PF3D7_0829200
PBANKA_070160,PBANKA_0701600,,"conserved protein, unknown function",PF3D7_0829100
PBANKA_070170,PBANKA_0701700,,"conserved Plasmodium protein, unknown function",PF3D7_0829000
PBANKA_070180,PBANKA_0701800,,"conserved Plasmodium protein, unknown function",PF3D7_0828900
PBANKA_070190,PBANKA_0701900,GAMA,"GPI-anchored micronemal antigen, putative",PF3D7_0828800
PBANKA_070200,PBANKA_0702000,,"conserved Plasmodium protein, unknown function",PF3D7_0828700
PBANKA_070210,PBANKA_0702100,FT1,"folate transporter 1, putative",PF3D7_0828600
PBANKA_070220,PBANKA_0702200,,"translation initiation factor eIF-2B subunit alpha, putative",PF3D7_0828500
PBANKA_070230,PBANKA_0702300,OXA1,"mitochondrial inner membrane protein OXA1, putative",PF3D7_0828400
PBANKA_070240,PBANKA_0702400,,"conserved Plasmodium protein, unknown function",PF3D7_0828300
PBANKA_070250,PBANKA_0702500,,"leucine--tRNA ligase, putative",PF3D7_0828200
PBANKA_070260,PBANKA_0702600,,"conserved Plasmodium protein, unknown function",PF3D7_0828100
PBANKA_070270,PBANKA_0702700,ROM3,rhomboid protease ROM3,PF3D7_0828000
PBANKA_070280,PBANKA_0702800,,protein disulfide isomerase,PF3D7_0827900
PBANKA_070290,PBANKA_0702900,,"SET domain protein, putative",PF3D7_0827800
PBANKA_070300,PBANKA_0703000,,"magnesium transporter, putative",PF3D7_0827700
PBANKA_070310,PBANKA_0703100,,"conserved Plasmodium protein, unknown function",PF3D7_0827600
PBANKA_070320,PBANKA_0703200,,"apicoplast ribosomal protein L21 precursor, putative",PF3D7_0827500
PBANKA_070330,PBANKA_0703300,,"conserved Plasmodium protein, unknown function",PF3D7_0827400
PBANKA_070340,PBANKA_0703400,,"conserved Plasmodium protein, unknown function",#N/A
PBANKA_070350,PBANKA_0703500,,"conserved Plasmodium protein, unknown function",PF3D7_0827200
PBANKA_070360,PBANKA_0703600,IF2c,"translation initiation factor IF-2, putative",PF3D7_0827100
PBANKA_070370,PBANKA_0703700,DBP10,"ATP-dependent RNA helicase DBP10, putative",PF3D7_0827000
PBANKA_070380,PBANKA_0703800,,"conserved Plasmodium protein, unknown function",PF3D7_0826900
PBANKA_070390,PBANKA_0703900,RACK,"receptor for activated c kinase, putative",PF3D7_0826700
PBANKA_070400,PBANKA_0704000,,"SNARE protein, putative",PF3D7_0826600
PBANKA_070410,PBANKA_0704100,UBE4B,"ubiquitin conjugation factor E4 B, putative",PF3D7_0826500
PBANKA_070420,PBANKA_0704200,,"dehydrodolichyl diphosphate synthetase, putative",PF3D7_0826400
PBANKA_070430,PBANKA_0704300,,"SPRY domain, putative",PF3D7_0826300
PBANKA_070440,PBANKA_0704400,,"alpha/beta hydrolase, putative",PF3D7_0826200
PBANKA_070450,PBANKA_0704500,,"E3 ubiquitin-protein ligase, putative",PF3D7_0826100
PBANKA_070460,PBANKA_0704600,,"conserved Plasmodium protein, unknown function",PF3D7_0826000
PBANKA_070470,PBANKA_0704700,,"conserved Plasmodium protein, unknown function",PF3D7_0825900
PBANKA_070480,PBANKA_0704800,,"conserved Plasmodium protein, unknown function",PF3D7_0825800
PBANKA_070490,PBANKA_0704900,,"conserved Plasmodium protein, unknown function",PF3D7_0825700
PBANKA_070500,PBANKA_0705000,,"cytochrome c oxidase assembly protein, putative",PF3D7_0825600
PBANKA_070510,PBANKA_0705100,KRI1,"protein KRI1, putative",PF3D7_0825500
PBANKA_070520,PBANKA_0705200,,"conserved Plasmodium protein, unknown function",PF3D7_0825400
PBANKA_070530,PBANKA_0705300,,"conserved protein, unknown function",PF3D7_0825300
PBANKA_070540,PBANKA_0705400,IF3a,"translation initiation factor IF-3, putative",PF3D7_0825200
PBANKA_070550,PBANKA_0705500,,"conserved Plasmodium protein, unknown function",PF3D7_0825100
PBANKA_070560,PBANKA_0705600,,"conserved Plasmodium protein, unknown function",PF3D7_0825000
PBANKA_070570,PBANKA_0705700,,"conserved Plasmodium protein, unknown function",PF3D7_0824900
PBANKA_070580,PBANKA_0705800,,"conserved Plasmodium protein, unknown function",PF3D7_0824800
PBANKA_070590,PBANKA_0705900,LMF1,"lipase maturation factor, putative",PF3D7_0824700
PBANKA_070600,PBANKA_0706000,DRE2,"Fe-S cluster assembly protein DRE2, putative",PF3D7_0824600
PBANKA_070610,PBANKA_0706100,,"conserved Plasmodium protein, unknown function",PF3D7_0824500
PBANKA_070620,PBANKA_0706200,NT2,"nucleoside transporter 2, putative",PF3D7_0824400
PBANKA_070630,PBANKA_0706300,,"GTP-binding protein, putative",PF3D7_0824300
PBANKA_070640,PBANKA_0706400,,"conserved Plasmodium protein, unknown function",PF3D7_0824200
PBANKA_070650,PBANKA_0706500,,"exonuclease, putative",PF3D7_0824100
PBANKA_070660,PBANKA_0706600,,"conserved Plasmodium protein, unknown function",PF3D7_0824000
PBANKA_070670,PBANKA_0706700,DTC,"dicarboxylate/tricarboxylate carrier, putative",PF3D7_0823900
PBANKA_070680,PBANKA_0706800,,"DnaJ protein, putative",PF3D7_0823800
PBANKA_070690,PBANKA_0706900,,"conserved Plasmodium protein, unknown function",PF3D7_0823700
PBANKA_070700,PBANKA_0707000,LipB,lipoate-protein ligase B,PF3D7_0823600
PBANKA_070710,PBANKA_0707100,IMC1i,inner membrane complex protein 1i,PF3D7_0823500
PBANKA_070720,PBANKA_0707200,,"alpha/beta hydrolase, putative",PF3D7_0823400
PBANKA_070730,PBANKA_0707300,GCN5,"histone acetyltransferase GCN5, putative",PF3D7_0823300
PBANKA_070740,PBANKA_0707400,,"RNA-binding protein, putative",PF3D7_0823200
PBANKA_070750,PBANKA_0707500,,"RWD domain-containing protein, putative",PF3D7_0823100
PBANKA_070760,PBANKA_0707600,VPS15,"serine/threonine protein kinase VPS15, putative",PF3D7_0823000
PBANKA_070770,PBANKA_0707700,,"conserved Plasmodium protein, unknown function",PF3D7_0822900
PBANKA_070780,PBANKA_0707800,,"conserved Plasmodium protein, unknown function",PF3D7_0822800
PBANKA_070790,PBANKA_0707900,,"conserved Plasmodium protein, unknown function",PF3D7_0822700
PBANKA_070800,PBANKA_0708000,SEC23,"protein transport protein SEC23, putative",PF3D7_0822600
PBANKA_070810,PBANKA_0708100,DLC1,dynein light chain 1,PF3D7_0822500
PBANKA_070820,PBANKA_0708200,,"conserved Plasmodium protein, unknown function",PF3D7_0822400
PBANKA_070840,PBANKA_0708400,SNRPG,"small nuclear ribonucleoprotein G, putative",PF3D7_0822300
PBANKA_070850,PBANKA_0708500,,"conserved Plasmodium protein, unknown function",PF3D7_0822200
PBANKA_070860,PBANKA_0708600,,"quinone oxidoreductase, putative",#N/A
PBANKA_070870,PBANKA_0708700,MED7,"mediator of RNA polymerase II transcription subunit 7, putative",PF3D7_0822100
PBANKA_070880,PBANKA_0708800,,"mitochondrial ribosomal protein L4 precursor, putative",PF3D7_0822000
PBANKA_070890,PBANKA_0708900,,"conserved Plasmodium protein, unknown function",PF3D7_0821900
PBANKA_070900,PBANKA_0709000,,"protein transport protein SEC61 subunit beta, putative",PF3D7_0821800
PBANKA_070910,PBANKA_0709100,,"60S ribosomal protein L22, putative",PF3D7_0821700
PBANKA_070920,PBANKA_0709200,,"clp1-related protein, putative",PF3D7_0821600
PBANKA_070930,PBANKA_0709300,NEP1,"ribosomal RNA small subunit methyltransferase NEP1, putative",PF3D7_0821500
PBANKA_070940,PBANKA_0709400,,"conserved Plasmodium protein, unknown function",PF3D7_0821400
PBANKA_070950,PBANKA_0709500,DHX36,"ATP-dependent RNA helicase DHX36, putative",PF3D7_0821300
PBANKA_070960,PBANKA_0709600,,"conserved Plasmodium protein, unknown function",PF3D7_0821200
PBANKA_070970,PBANKA_0709700,PK1,protein kinase 1,PF3D7_0821100
PBANKA_070980,PBANKA_0709800,,"conserved Plasmodium protein, unknown function",PF3D7_0821000
PBANKA_070990,PBANKA_0709900,,"conserved Plasmodium protein, unknown function",PF3D7_0820900
PBANKA_071000,PBANKA_0710000,,"conserved Plasmodium protein, unknown function",PF3D7_0820800
PBANKA_071010,PBANKA_0710100,KDH,"2-oxoglutarate dehydrogenase E1 component, putative",PF3D7_0820700
PBANKA_071020,PBANKA_0710200,,"conserved Plasmodium protein, unknown function",PF3D7_0820600
PBANKA_071030,PBANKA_0710300,,"conserved Plasmodium protein, unknown function",PF3D7_0820500
PBANKA_071040,PBANKA_0710400,,"conserved Plasmodium protein, unknown function",PF3D7_0820400
PBANKA_071050,PBANKA_0710500,,"conserved Plasmodium protein, unknown function",PF3D7_0820300
PBANKA_071060,PBANKA_0710600,,"phosphatidylglycerophosphate synthase, putative",PF3D7_0820200
PBANKA_071070,PBANKA_0710700,,"conserved Plasmodium protein, unknown function",PF3D7_0820100
PBANKA_071080,PBANKA_0710800,SRCAP,"Snf2-related CBP activator, putative",PF3D7_0820000
PBANKA_071090,PBANKA_0710900,LSM3,"U6 snRNA-associated Sm-like protein LSm3, putative",PF3D7_0819900
PBANKA_071100,PBANKA_0711000,,"conserved Plasmodium protein, unknown function",PF3D7_0819800
PBANKA_071110,PBANKA_0711100,,"conserved Plasmodium protein, unknown function",PF3D7_0819700
PBANKA_071120,PBANKA_0711200,,"conserved Plasmodium protein, unknown function",PF3D7_0819600
PBANKA_071130,PBANKA_0711300,,"conserved protein, unknown function",PF3D7_0819500
PBANKA_071140,PBANKA_0711400,PLP4,membrane attack complex;perforin-like protein 4,PF3D7_0819400
PBANKA_071150,PBANKA_0711500,,"conserved Plasmodium protein, unknown function",PF3D7_0819300
PBANKA_071160,PBANKA_0711600,PLP5,perforin-like protein 5,PF3D7_0819200
PBANKA_071170,PBANKA_0711700,,"BRIX domain, putative",PF3D7_0819100
PBANKA_071180,PBANKA_0711800,,"conserved Plasmodium protein, unknown function",PF3D7_0819000
PBANKA_071190,PBANKA_0711900,HSP70,heat shock protein 70,PF3D7_0818900
PBANKA_071200,PBANKA_0712000,IMP4,"U3 small nucleolar ribonucleoprotein protein IMP4, putative",PF3D7_0818800
PBANKA_071210,PBANKA_0712100,,"DNA helicase, putative",PF3D7_0818700
PBANKA_071220,PBANKA_0712200,PBLP,"BEM46-like protein, putative",PF3D7_0818600
PBANKA_071230,PBANKA_0712300,,"zinc finger protein, putative",PF3D7_0818500
PBANKA_071240,PBANKA_0712400,FCF1,"rRNA-processing protein FCF1, putative",PF3D7_0818400
PBANKA_071250,PBANKA_0712500,,"dynactin subunit 6, putative",PF3D7_0818300
PBANKA_071260,PBANKA_0712600,14-3-3I,14-3-3 protein,PF3D7_0818200
PBANKA_071270,PBANKA_0712700,,"zinc finger protein, putative",PF3D7_0818100
PBANKA_071280,PBANKA_0712800,,"conserved protein, unknown function",PF3D7_0818000
PBANKA_071290,PBANKA_0712900,HMGB2,high mobility group protein B2,PF3D7_0817900
PBANKA_071300,PBANKA_0713000,,"conserved Plasmodium protein, unknown function",PF3D7_0817800
PBANKA_071310,PBANKA_0713100,RON5,"rhoptry neck protein 5, putative",PF3D7_0817700
PBANKA_071320,PBANKA_0713200,,"conserved Plasmodium protein, unknown function",PF3D7_0817600
PBANKA_071330,PBANKA_0713300,,"protein kinase c inhibitor-like protein, putative",PF3D7_0817500
PBANKA_071340,PBANKA_0713400,,"phosphatase, putative",PF3D7_0817400
PBANKA_071350,PBANKA_0713500,,"asparagine-rich antigen, putative, fragment",#N/A
PBANKA_071360,PBANKA_0713600,,"conserved Plasmodium protein, unknown function",PF3D7_0817200
PBANKA_071370,PBANKA_0713700,,"GTPase, putative",PF3D7_0817100
PBANKA_071380,PBANKA_0713800,,"NEDD8-activating enzyme E1 catalytic subunit, putative",PF3D7_0817000
PBANKA_071390,PBANKA_0713900,AK2,"adenylate kinase 2, putative",PF3D7_0816900
PBANKA_071400,PBANKA_0714000,DMC1,meiotic recombination protein DMC1,PF3D7_0816800
PBANKA_071410,PBANKA_0714100,TRAPPC2L,"trafficking protein particle complex subunit 2-like protein, putative",PF3D7_0816700
PBANKA_071420,PBANKA_0714200,ClpB1,"chaperone protein ClpB1, putative",PF3D7_0816600
PBANKA_071430,PBANKA_0714300,HSP20,small heat shock protein HSP20,PF3D7_0816500
PBANKA_071440,PBANKA_0714400,,"conserved Plasmodium protein, unknown function",PF3D7_0816400
PBANKA_071450,PBANKA_0714500,,"conserved Plasmodium protein, unknown function",PF3D7_0816300
PBANKA_071460,PBANKA_0714600,VPS2,"vacuolar protein sorting-associated protein 2, putative",PF3D7_0816200
PBANKA_071470,PBANKA_0714700,,"phosphopantothenoylcysteine decarboxylase, putative",PF3D7_0816100
PBANKA_071480,PBANKA_0714800,RRB1,"ribosome assembly protein RRB1, putative",PF3D7_0816000
PBANKA_071490,PBANKA_0714900,aLipDH,"dihydrolipoyl dehydrogenase, apicoplast, putative",PF3D7_0815900
PBANKA_071500,PBANKA_0715000,VPS9,"vacuolar protein sorting-associated protein 9, putative",PF3D7_0815800
PBANKA_071510,PBANKA_0715100,,"ubiquitin, putative",PF3D7_0815700
PBANKA_071520,PBANKA_0715200,EIF3G,"eukaryotic translation initiation factor 3 subunit G, putative",PF3D7_0815600
PBANKA_071530,PBANKA_0715300,,"conserved Plasmodium protein, unknown function",PF3D7_0815500
PBANKA_071540,PBANKA_0715400,,"conserved Plasmodium protein, unknown function",PF3D7_0815400
PBANKA_071550,PBANKA_0715500,PGM2,phosphoglucomutase-2,PF3D7_0413500
PBANKA_071560,PBANKA_0715600,RPT3,"26S protease regulatory subunit 6B, putative",PF3D7_0413600
PBANKA_071570,PBANKA_0715700,,"lysine decarboxylase-like protein, putative",PF3D7_0413700
PBANKA_071580,PBANKA_0715800,,"50S ribosomal protein L10, putative",PF3D7_0413800
PBANKA_071590,PBANKA_0715900,USP13,"ubiquitin carboxyl-terminal hydrolase 13, putative",PF3D7_0413900
PBANKA_071600,PBANKA_0716000,SMC3,"structural maintenance of chromosomes protein 3, putative",PF3D7_0414000
PBANKA_071610,PBANKA_0716100,,"conserved Plasmodium protein, unknown function",PF3D7_0414100
PBANKA_071620,PBANKA_0716200,,"calmodulin-like protein, putative",PF3D7_0414200.1
PBANKA_071630,PBANKA_0716300,,"Rab5-interacting protein, putative",PF3D7_0414300
PBANKA_071640,PBANKA_0716400,,"conserved Plasmodium protein, unknown function",PF3D7_0414400
PBANKA_071650,PBANKA_0716500,,"RNA-binding protein, putative",PF3D7_0414500
PBANKA_071660,PBANKA_0716600,,"conserved Plasmodium protein, unknown function",PF3D7_0414600
PBANKA_071670,PBANKA_0716700,,"GTP-binding protein, putative",PF3D7_0414700
PBANKA_071680,PBANKA_0716800,,"conserved Plasmodium protein, unknown function",PF3D7_0414800
PBANKA_071690,PBANKA_0716900,ARO,"armadillo-domain containing rhoptry protein, putative",PF3D7_0414900
PBANKA_071700,PBANKA_0717000,,"ATPase, putative",PF3D7_0415000
PBANKA_071710,PBANKA_0717100,,"conserved Plasmodium protein, unknown function",PF3D7_0415100
PBANKA_071720,PBANKA_0717200,,"conserved Plasmodium protein, unknown function",PF3D7_0415200
PBANKA_071730,PBANKA_0717300,CRK3,cdc2-related protein kinase 3,PF3D7_0415300
PBANKA_071740,PBANKA_0717400,,"coatomer subunit zeta, putative",PF3D7_0415400
PBANKA_071750,PBANKA_0717500,CBP20,"nuclear cap-binding protein subunit 2, putative",PF3D7_0415500
PBANKA_071760,PBANKA_0717600,GAK,"GTP:AMP phosphotransferase, putative",PF3D7_0415600
PBANKA_071770,PBANKA_0717700,,"conserved Plasmodium protein, unknown function",PF3D7_0415700
PBANKA_071780,PBANKA_0717800,,"60S ribosomal protein L15, putative",PF3D7_0415900
PBANKA_071790,PBANKA_0717900,,"RNA-binding protein, putative",PF3D7_0416000
PBANKA_071800,PBANKA_0718000,,"conserved Plasmodium protein, unknown function",#N/A
PBANKA_071810,PBANKA_0718100,GATA,glutamyl-tRNA(Gln) amidotransferase subunit A,PF3D7_0416100
PBANKA_071820,PBANKA_0718200,,"conserved protein, unknown function",PF3D7_0416200
PBANKA_071830,PBANKA_0718300,MCM9,"DNA helicase MCM9, putative",PF3D7_0416300
PBANKA_071840,PBANKA_0718400,HAT1,"histone acetyltransferase, putative",PF3D7_0416400
PBANKA_071850,PBANKA_0718500,,"repressor of RNA polymerase III transcription MAF1, putative",PF3D7_0416500
PBANKA_071860,PBANKA_0718600,,"prohibitin-like protein, putative",PF3D7_0416600
PBANKA_071870,PBANKA_0718700,,"CDGSH iron-sulfur domain-containing protein, putative",PF3D7_0416700
PBANKA_071880,PBANKA_0718800,SAR1,"small GTP-binding protein sar1, putative",PF3D7_0416800
PBANKA_071890,PBANKA_0718900,,"conserved Plasmodium protein, unknown function",PF3D7_0416900
